i,t,m,Apple,Bread,Cassava (dough),Cassava (fresh),Cocoa (milk powder beverages),Coconut (fresh),Cocoyam Leaves,Coffee,Condiments,Eggplant,Eggs,"Fish (smoked, sea)",Garlic,Herring (smoked),Milk (powdered),Oil (vegetable),Okra,Onion,Orange,Other Fish,Other Spices,Pepper (fresh),Pineapple,Plantain,Rice (imported),Salmon (smoked),Salt,Sugar (granulated),Sugar Bread,Tomato (fresh),Tomato (paste),Water,Yam,Biscuit,"Cassava (white, flour)",Chewing Gum,Chicken (frozen),Fish (fried),"Fish (smoked, river)",Ginger,Groundnut,Ice Cream,Maize (flour/dough),Malt Drinks (bottle),Malt Drinks (canned),Oil (coconut),Oil (palm),Other Milk Products,Other Oils,Palm Nut,Soft Drinks,Spaghetti,Tilapia,Watermelon,Yoghurt,Banana,Milk (evaporated),Beef,Beef (steak),Chicken (wing),Juice,Other Beverages,Pepper (powder),Potato,Snail,Cerelac (Baby food),White Oats,Chicken (thigh),Fish (canned),Fish (dried),Fish (salted),Other Vegetable,Rice (local),Pork (feet),Bitters,Cocoyam,Gin,Beef (corned),Carrot,Chicken (broiler),Cowpea,Instant Noodle,Maize (grain),Margarine,Milk (fresh),Pawpaw,Tea bag,Tuna (processed),Wine,Mackerel (processed),"Milk (tinned, condensed)",Other Meat,Akpeteshie,Beef (offal),Curry Power,"Cassava (yellow, flour)",Chicken (live),Grape,Macaroni,Millet (flour),"Pepper (dried, red)",Beer,Agushie Seed,Cassava (dried),Goat,Cigarette,Shrimp,Sugar (cubed),Kapla,Millet,Cocoa Powder,Sausage (beef),Other Tubers,Mango,Dawadawa,Avocado,Crab,Honey,Pork,Beef (leg),Sausage (chicken),Wheat Flour,Shallot,Sweet Pepper,Chicken (breast),Lime,Chicken (gizzard),Other Fruits,Shea Butter,Other Tobacco,Sausage (pork),Chocolate,Other Cereal,Guineafowl,Pork (fillet),Oil (palm kernel),Canned Fruits,Oil (groundnut),Water Yam,Corflake,Cashew,Other Spirits,Whisky,Beef (face),Chilli Powder (black pepper),Coconut (dried),Guinea corn/sorghum,Vinegar,Tobacco,Pork (rib),Taro,Couscous,Maizena,Schnapps,Pork (shoulder)
70783/08,2016-17,Northern,,,,,,,,,13,,,,,21,0.5,,8,2,,,,,,,,,4,3.2,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
70783/09,2016-17,Northern,,,,,,,,,6,,,,,18,3.1,,,3.5,,,1,,,,,,7,4.4,2,,2,,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,8,,,,,,,,,,,2,,,,,,
70783/10,2016-17,Northern,,,,,1,,,,7,,,,,23,,7,,5,,,0.5,,,,,,6,4,,,2,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
70783/11,2016-17,Northern,,,,,0.5,,,,4,,,,,13,,3,,3,,,1,,,,,,2,8.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,9,,,,,2,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
70783/12,2016-17,Northern,,,,,,,,,6,,,,,19,,25,,9.5,,,1,,,,,,3,24,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70783/13,2016-17,Northern,,,,,,,,,5.5,,,,,13,0.5,,,2.5,,,2,,,,,,3,2.5,1,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,3,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
70783/14,2016-17,Northern,,,,,,,,,9.5,,,,,24,,,,10,,,1,,,,,,5,4.5,1,,2,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
70783/15,2016-17,Northern,,,,,,,,,3.5,,,,,5,,,,1,,,1.2,,,,,,3,4,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
70784/01,2016-17,Northern,,,,,,,,,12,,,,,7.5,,,,4,,,,,,,,,8,79.8,6,7,1.5,,,2.6,,0.2,,,,,,,,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0.5,,,,,,,,,,2,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,3,,,,,,
70784/02,2016-17,Northern,,,,,,,,,10,,,4,,4,4,,,5,,,,,,,,,11,6.5,10,7.5,2,,,6.5,,,,,8,3,5,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,18,,,,,,,,,,,,,,25,,,,,4,,,12,,,,,9,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,24,,6,,,,,,
70784/03,2016-17,Northern,,,,,,,,,5,,,,,3,8,,,4,,,,,,,,,5,5.2,6,6.5,1.7,,,1,,,,,,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,7.5,,,,7.4,,,,9,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
70784/04,2016-17,Northern,,,,,,,,,3.5,,,,,5.5,,,,2.5,,,,,,,,,5.5,2,3,1.7,2.1,,,1,,,,,15,0.5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5,,,,,,,,,,15,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,30,,,,,,,,,,,,,,,2.5,,,,,,
70784/05,2016-17,Northern,,,,,,,,,,,,,,,,2,,2,,1,,,,,,,3,5.2,12,2,,,,2.5,,,,,2,,3,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,38,,,,,,,,,,,,6,,2,,,,,,6,,,,,,,,3,,,,17,11,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,4,,,,,,
70784/06,2016-17,Northern,,,,,,,,,9,,,,,13,,12,,5.5,,,,,,,,,13,10,10,4,6,,,5,,,,,,2.5,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,10,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,2,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
70784/07,2016-17,Northern,,,,,,,,,5.5,,,,,9,5,,,4.5,,,,,,,,,5,5.1,6,5,2,,,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
70784/08,2016-17,Northern,,,,,,,,,4.5,,,,,7,,9.5,,1.5,,10,,,,,,,2.5,5.5,12.5,1.6,0.5,0.2,,6.2,,,,,,,,,,7.5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,0.2,36,,,,,,,,,,6,,1,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,3.5,,,,,,
70784/09,2016-17,Northern,,2.2,,,,,,,3.5,,,,,10,,10,,2,,,,,,,,,3,3.9,12,3,4,,,2.5,,,,,,2,3,,,5,,,,,,,1.5,,,,,,,,,,,,,,,,,2,,,,,15,,,,,,,,,,6,,,,,,,,,,,,,,31,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,5,,,,,,,,,10,,,,,,,,
70784/10,2016-17,Northern,,,,,,,,,6.5,,,,,14,,72,,4,,,,,,,,,13.5,16,22,1,4.5,,,3.3,,,,,6,2.5,5,,,7.5,5,,,,,,,,10,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,42,,,,,,,,,,,,,,1,,,,,7.5,,,3,,,,,6,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,42,,,,,,,,
70784/11,2016-17,Northern,,,,,,,,,33,,,,,86,,60,,2,,,,,,,,,8,20.5,23,2,,,22,2,,,,,,8,2,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,135,,,,,,,,,,7,,,,23,,,,,10,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
70784/12,2016-17,Northern,,,,,,,,,6,,10,,,9,,,,,,,,,,,,,7,,,2,,,2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
70784/13,2016-17,Northern,,,,,,,,,9,,,,,25,,39.5,,5,,,,,,,,,9,8.6,6,,12,,,2.5,,,,,,4,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,1,18,,50,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
70784/14,2016-17,Northern,,,,,,,,,2,,,,,15,,5,,0.5,,,,,,,,,1,12.5,,,,,13,9.4,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,
70784/15,2016-17,Northern,,,,,,,,,7.5,,,,,11,1,,,7,,,,,,,,,5.5,8.5,13,2,1,,,4.2,,,,,,1.5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,14,,1,,0.4,,,,,,,,,,8,,,,,1,,,,4,,,,,,,,,0.5,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,7,,2.5,,,,,,
70785/01,2016-17,Northern,,,,,,,,,7,,,,,9,,4,,4,,,,,,,,,4,1.5,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
70785/02,2016-17,Northern,,,,,,,,,14,,,,,25,,14,,9.5,1,,,,,,,,6,11.7,14,,7.8,,,1,,,,,,,4,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,29,,,10.5,11,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,12,,,,,,,,,,,,,,,,,
70785/03,2016-17,Northern,,,,,,,,,4,,,,,6,,2,12,4.5,,,,6,,,,,4.5,4,10,,1.8,,12,0.5,,,,,,,3,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,14,,,,,,,,5.5,,49.5,,,,,,,,,,,,,,,,,,5,,,2,5,7.5,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,1,,,,,,
70785/04,2016-17,Northern,,,,,,,,,33,,,,,23.5,,45,,8,1,,,,,,,,7,42.5,7,,10,,,,,,,,,3,,,,,5,,,,,,301.5,,,,,,,,,,,,,,,,,,,,,,61,,5,,,,,,10,,,,6,,,,,,,,148.6,,,,,,,,,5,220,,5,9,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
70785/05,2016-17,Northern,,,,,3,,,,25,,,,,30,8,32.5,,8,,,,,,,,,10,12,14,,13.6,3.7,,2,,,,,,,,,,36.5,26,,,,,,10,,,,2,1,2.8,,,,,,,,,,,,,,,,52,,,,,,,,,,,,5,,1,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,
70785/06,2016-17,Northern,,,,,,,,,18,,,,,32,,24,,7,,,,,,,,,12,12,17,,17,,,,,,,,,,,,,,,,,,,5,13.5,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2.5,,,,,,
70785/07,2016-17,Northern,,,,,,,,,7,,,,,9,,14,,7,,,,,,,,,6,7,13,,13,,,,,,,,,2,,,,10,,,,,,,3,,,,,,,10,,,,,,,,,,,,,,,10,,1,,,,,,,,,,2,,,,,,,,40,,,,,,,,,4,,,10,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70785/08,2016-17,Northern,,,,,,,,,22.5,,,,,35,,5,,8,,,,,,,,,12,8.5,1,,,,,,,,,,,2,,,,8,5,,,,,,9,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,3,,,,,,,,27,,,,,,,,,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
70785/09,2016-17,Northern,,,,,,,,,11,,,,,15,,15,,7,,,,,,,,,4,6,6,,6,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,5,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,
70785/10,2016-17,Northern,5,,,,,,,,23,,,,4,53,,15,,18,,,,,,,,,13,14,18,,14,3,,1,,0.5,,,,,,,,,,,,,,,1.5,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,10.5,,,,,,
70785/11,2016-17,Northern,,,,,,,,,5,,,,,17,,2,,3,,,,,,,,,4,4.5,12,,0.6,,,0.5,,,,,,,,,,,3,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,26.8,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
70785/12,2016-17,Northern,,,,,,,,,5.5,,,,,7,,4,,2.5,,,,,,,,,4.5,,1,,,,,0.5,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70785/13,2016-17,Northern,,,,,,,,,10,,,,,5.5,,11,,2,,,,,,,,,6,1.5,10,,1.8,1,,,,,,,,,3,,,6,5,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,19,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
70785/14,2016-17,Northern,,,,,,,,,13,,,,,46,,5,,11,1,,,,,,,,5,10,7,,11.8,2.5,,,,,,,,1,6,,,,7.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,12,,,,,,,,,,21,,2.5,,,,,,,,,,,,,,,,,,,8,20,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
70786/01,2016-17,Northern,,,,,,,,,1.5,,,,,7.5,0.5,2.5,5,2,,,2.5,,,,,,3.5,5.5,2,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,30,,,,,,,,,,24,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
70786/02,2016-17,Northern,,,,,,,,,8,,,,,40,1,2.5,,7,,,2.5,,,,,,13,4,2,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,2,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70786/03,2016-17,Northern,,,,,,,,,8,,,,,28,5,30,,5,,,4,,,,,,13,10,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
70786/04,2016-17,Northern,,,,,,,,,1.5,,,,,3,,,,,,,0.5,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
70786/05,2016-17,Northern,,,,,,,,,3.5,,,,,4,,,,1,,,1.2,,,,,,5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,7,,70,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
70786/06,2016-17,Northern,,,,,,,,,4,,,,,18,,11.5,,,,,6.5,,,,,,12,6,6,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70786/07,2016-17,Northern,,,,,,,,,3.5,,,,,10.5,,,,0.5,,,2,,,,,,8,6,,,,,,6,,,,,,,30,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70786/08,2016-17,Northern,,,,,,,,,8.5,,,,,17,,8,,3,,,4,,,,,,6,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,30,,7.5,,,,,,
70786/09,2016-17,Northern,,,,,,,,,3.5,,,,,7,,10,,1,,,3,,,,,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
70786/11,2016-17,Northern,,,,,,,,,13.5,,,,,30,,14,,1.5,,,1.5,,,,,,17,32,15,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,22,,,,,,,,,5,,,,5,,,,,,,,5,,,,42,,,,0.5,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,8,,,,,,
70786/12,2016-17,Northern,,,,,,,,,5,,,,,18,,22,,4,,,4,,,,,,8,27,11,,6,,,2,,,,,,2,,,,,,,,,,,24,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70786/13,2016-17,Northern,,,,,,,,,3,,,,,14,,9,,2.5,,,3.5,,,,,,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70786/14,2016-17,Northern,,,,,,,,,5,,,,,43,,3,,7,,,4.5,,,,,,4,8.7,2,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70786/15,2016-17,Northern,,,,,,,,,0.5,,,,,54.5,,,,6,,,3.5,,,,,,19,11,,,1,,60,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,10,,,,,,,,,,,,,,,,,,,,8,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
70787/01,2016-17,Northern,,1,,,0.6,,,,4.5,,,,,5,,,,0.5,,,,,,,,,2,2.6,2,,2.4,,,,,,,,,,21,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,2.5,,,,,,,,,,,,,,,,,
70787/02,2016-17,Northern,,,,,1,,,,12,,7,,,6,2.4,,,3,1.5,,,,,,,,3,23.5,54,,0.6,2.8,,1,,,,,,,3,,,12.5,2.5,,,,,2,4.5,,,,2,2,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,10,,5,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,21.5,,,,,,,,5,,,,,,,,,,,,,,,,,
70787/03,2016-17,Northern,,,,,,,,,9,,,,,7,1.5,4,2.5,4.5,1.5,,,,,,,,11,39,14,,17.5,0.4,,,,,,,,,3,,,,,,,,,,,,,,,,,5,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,22,,,,,,,,,,,,,,,,,
70787/04,2016-17,Northern,,,,,,,,,5.6,,,,,10,1.2,,1,2.5,,,,,,,,,6.1,4.7,10,0.5,,,,0.5,,,,4,,,1,,,,5,,,,,,,,,,,2,3,16,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,2,5.5,,,,,,,,,,,,,,,,,,,,,,,,,
70787/05,2016-17,Northern,,,,,,,,,1,,,,,0.5,2,,,1,1.5,,,,,,,,0.5,12.5,3,,1.8,1.2,10,,0.5,,,0.5,,,,,,,,,0.5,,,,,,,,,,,5,,,,,1,,,,,,,,,,1,,,,,,,,2.5,,,,24,,,,,,,,,,,,,,,,,12,,,,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,6,,,,,,,,
70787/06,2016-17,Northern,,,,2,,,,,9,,,,,2,0.5,,8,2,4.1,,,,,,,,3.5,4.7,1,,2,,2,,,,,,,,8,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,
70787/07,2016-17,Northern,,,,,,,,,8,,,,,10,0.5,,,5,1,,,,,,,,9.5,9,5,,4.4,,4,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
70787/08,2016-17,Northern,,,,,1,,,,20,,,,,32,7.5,,9,8,2,,,,,,,,17,25.5,20,,9.6,,,,,0.3,,,,,4.5,,,2.5,3,,,,,,1.5,,,,,1,,40,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,2,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,20,,,,,,,,,,,,,,,,,
70787/09,2016-17,Northern,,2,,,,,,,15,,,,,9,,,,3,,,,,,,,,9,4,4,,5.4,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,2.5,,,,,,
70787/10,2016-17,Northern,,,,,,,,,10,,,,,10,0.5,,,2,1,,,,,,,,6,7,10,,4,,,0.2,,,,,,,8,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,27,,,,,,,,,,,,,,3.5,,,,,5,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,11.5,,,,,,,,,,,,,,,,,
70787/11,2016-17,Northern,,,,,,,,,20,,,,,16,,,,3,,,,,,,,,10,39.5,26,,7.2,,,,,,,,,,,,,10,5,,,,,,1.5,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2.5,,,,,,,,,,,,,,16,,,,10,,,,,9,,,,,,,,,,,,,,,,,,,,2,,,,,,,,11,,,,,,,,,9,,,,,,,,
70787/12,2016-17,Northern,,,,,,,,,9,,,,,9,1,,,6,,,,,,,,,10,20,11.5,,4.6,,,,,,,,,,,,,,3,,,,,,,,,,,1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
70787/13,2016-17,Northern,,4,,,,,,,20,,,,,24,,,,3.5,0.5,,,,,,,,5.5,9,15,,9.6,,8,1,,,,,,,,,,,18,,,,,,,,,,,1,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,13,,,,,,,,,,,3,,,,,,
70787/14,2016-17,Northern,,,,,,,,,4.5,,,,,4,,,,,,,,,,,,,2.5,6.2,1,,2.4,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
70787/15,2016-17,Northern,,,,,,,,,20,,,,,22,14,,,6,,,,,,,,,8,23,29,,14,0.4,,,,,,,,,,,,,3,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,13,,,,,,,,,,,2.5,,,,,,
